==================== Simple Matrix ====================
Count		Time(ns)
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		0
18		0
19		0
20		0
21		0
22		0
23		0
24		0
25		0
26		0
27		0
28		0
29		0
30		0
31		0
32		0
33		0
34		0
35		0
36		0
37		0
38		0
39		1000000
40		0
41		1000000
42		1000000
43		1000000
44		1000000
45		1000000
46		1000000
47		1000000
48		1000000
49		1000000
50		1000000
51		2000000
52		2000000
53		2000000
54		2000000
55		2000000
56		2000000
57		2000000
58		3000000
59		3000000
60		3000000
61		3000000
62		3000000
63		3000000
64		3000000
65		4000000
66		4000000
67		4000000
68		4000000
69		4000000
70		5000000
71		5000000
72		5000000
73		5000000
74		5000000
75		6000000
76		7000000
77		6000000
78		6000000
79		7000000
80		7000000
81		7000000
82		8000000
83		8000000
84		8000000
85		8000000
86		9000000
87		9000000
88		9000000
89		10000000
90		10000000
91		10000000
92		11000000
93		11000000
94		12000000
95		12000000
96		12000000
97		13000000
98		13000000
99		14000000
100		14000000
101		14000000
102		15000000
103		15000000
104		16000000
105		16000000
106		17000000
107		17000000
108		18000000
109		18000000
110		19000000
111		20000000
112		24000000
113		22000000
114		21000000
115		22000000
116		23000000
117		23000000
118		23000000
119		24000000
120		24000000
121		25000000
122		26000000
123		27000000
124		27000000
125		28000000
126		28000000
127		29000000
128		34000000
129		31000000
130		31000000
131		32000000
132		33000000
133		34000000
134		35000000
135		36000000
136		36000000
137		37000000
138		37000000
139		39000000
140		39000000
==================== Strassen Matrix ====================
Count		Time(ns)
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		2000000
10		2000000
11		2000000
12		2000000
13		2000000
14		2000000
15		2000000
16		2000000
17		15000000
18		14000000
19		17000000
20		15000000
21		15000000
22		15000000
23		14000000
24		14000000
25		14000000
26		15000000
27		14000000
28		14000000
29		15000000
30		14000000
31		14000000
32		14000000
33		104000000
34		103000000
35		104000000
36		103000000
37		104000000
38		103000000
39		106000000
40		104000000
41		103000000
42		104000000
43		103000000
44		103000000
45		104000000
46		103000000
47		104000000
48		102000000
49		103000000
50		109000000
51		103000000
52		103000000
53		103000000
54		104000000
55		103000000
56		104000000
57		104000000
58		104000000
59		111000000
60		104000000
61		104000000
62		103000000
63		103000000
64		103000000
65		733000000
66		730000000
67		730000000
68		737000000
69		774000000
70		801000000
71		731000000
72		729000000
73		731000000
74		741000000
75		733000000
76		732000000
77		736000000
78		726000000
79		738000000
80		739000000
81		739000000
82		739000000
83		751000000
84		748000000
85		748000000
86		728000000
87		733000000
88		735000000
89		732000000
90		735000000
91		730000000
92		748000000
93		729000000
94		727000000
95		728000000
96		730000000
97		729000000
98		734000000
99		747000000
100		732000000
101		733000000
102		731000000
103		732000000
104		733000000
105		733000000
106		734000000
107		737000000
108		729000000
109		735000000
110		734000000
111		728000000
112		726000000
113		732000000
114		747000000
115		732000000
116		729000000
117		736000000
118		727000000
119		731000000
120		728000000
121		733000000
122		734000000
123		732000000
124		728000000
125		917000000
126		788000000
127		806000000
128		777000000
129		5227000000
130		5099000000
131		5096000000
132		5109000000
133		5111000000
134		5102000000
135		5119000000
136		5118000000
137		5095000000
138		5420000000
139		5530000000
140		5805000000
